900000,2004-02-20,closed,
500000,2010-03-24,closed,
500000,2002-02-03,planning,
1000000,2012-09-20,works completed,
1000000,2009-06-09,works completed,
700000,2000-01-04,budgeting,
700000,2010-03-02,closed,
3000000,2010-01-13,planning,
2000000,2001-06-19,budgeting,
400000,2004-04-08,works completed,
700000,2003-02-06,works completed,
500000,2012-10-20,planning,
900000,2012-01-20,budgeting,
500000,2001-12-04,works completed,
800000,2007-10-22,planning,
500000,2008-11-19,works in progress,
2000000,2011-01-20,closed,
600000,2010-04-25,planning,
700000,2003-02-19,budgeting,
2000000,2001-09-01,initialized,
400000,2008-07-25,planning,
3000000,2005-09-24,snags completed,
900000,2011-02-02,works in progress,
500000,2007-04-15,initialized,
700000,2007-04-20,snags completed,
400000,2000-03-15,planning,
600000,2010-08-12,planning,
700000,2002-03-09,closed,
700000,2005-11-21,works in progress,
400000,2005-12-10,budgeting,
600000,2003-01-30,works in progress,
300000,2003-06-18,planning,
900000,2009-02-28,planning,
800000,2001-12-23,initialized,
800000,2011-12-14,works completed,
500000,2002-06-07,closed,
500000,2005-05-12,works completed,
2000000,2002-05-22,planning,
300000,2006-12-24,initialized,
800000,2011-01-05,works completed,
700000,2012-09-22,closed,
2000000,2003-07-27,works completed,
300000,2004-07-06,snags completed,
500000,2003-10-25,works completed,
600000,2007-02-12,initialized,
400000,2003-06-08,snags completed,
300000,2006-11-22,initialized,
800000,2001-12-25,initialized,
500000,2010-06-16,works in progress,
300000,2000-12-09,snags completed,
600000,2003-01-19,works in progress,
400000,2007-07-30,initialized,
1000000,2005-07-23,snags completed,
400000,2011-01-06,initialized,
300000,2006-03-30,works in progress,
2000000,2005-01-25,works completed,
1000000,2008-07-21,planning,
600000,2005-06-05,works in progress,
3000000,2005-09-06,snags completed,
600000,2003-03-12,budgeting,
1000000,2003-09-14,closed,
3000000,2004-12-04,planning,
300000,2006-05-28,initialized,
3000000,2008-01-17,closed,
2000000,2003-09-01,closed,
900000,2000-04-27,planning,
600000,2000-06-06,planning,
1000000,2000-07-25,snags completed,
900000,2011-06-29,planning,
300000,2012-11-05,snags completed,
400000,2002-11-24,budgeting,
500000,2009-03-06,planning,
3000000,2010-07-08,budgeting,
600000,2005-10-02,works completed,
600000,2008-07-23,closed,
500000,2002-05-20,closed,
800000,2008-11-23,works completed,
400000,2009-09-04,works completed,
700000,2008-12-02,initialized,
300000,2009-03-19,budgeting,
2000000,2011-04-04,snags completed,
400000,2003-11-29,initialized,
2000000,2001-11-02,closed,
700000,2001-02-19,works completed,
500000,2009-07-17,snags completed,
400000,2000-10-19,snags completed,
500000,2008-12-23,works in progress,
500000,2007-09-16,budgeting,
900000,2005-06-15,works completed,
1000000,2003-10-16,budgeting,
